ordersGross,ordersCancelled,lines,country,monthStart,grossRevenue,returnsRevenue,netRevenue
3,1,35,Australia,2010-12-01,1032.85,-27.749999999999996,1005.1
1,1,9,Austria,2010-12-01,277.2,-20.16,257.03999999999996
1,0,1,Bahrain,2010-12-01,205.74,0.0,205.74
5,0,95,Belgium,2010-12-01,1809.91,0.0,1809.91
1,0,17,Channel Islands,2010-12-01,363.53,0.0,363.53
1,0,83,Cyprus,2010-12-01,1590.82,0.0,1590.82
1,0,20,Denmark,2010-12-01,1281.5000000000002,0.0,1281.5000000000002
17,5,403,EIRE,2010-12-01,10033.26,-1003.3100000000003,9029.949999999999
1,0,17,Finland,2010-12-01,892.8000000000001,0.0,892.8000000000001
21,3,439,France,2010-12-01,9616.310000000001,-40.95,9575.36
30,13,565,Germany,2010-12-01,15241.140000000001,-678.3000000000001,14562.84
1,0,31,Iceland,2010-12-01,711.79,0.0,711.79
0,1,2,Israel,2010-12-01,0.0,-227.44,-227.44
2,1,41,Italy,2010-12-01,811.5,-17.0,794.5
3,0,65,Japan,2010-12-01,7705.07,0.0,7705.07
4,0,35,Lithuania,2010-12-01,1661.06,0.0,1661.06
3,0,72,Netherlands,2010-12-01,8784.479999999998,0.0,8784.479999999998
2,0,147,Norway,2010-12-01,3787.120000000001,0.0,3787.120000000001
1,0,8,Poland,2010-12-01,248.16,0.0,248.16
6,2,120,Portugal,2010-12-01,2439.97,-59.85,2380.12
4,0,75,Spain,2010-12-01,1843.73,0.0,1843.73
2,1,27,Sweden,2010-12-01,3834.2999999999997,-1188.0,2646.2999999999997
2,0,49,Switzerland,2010-12-01,1304.9199999999996,0.0,1304.9199999999996
1587,298,40125,United Kingdom,2010-12-01,748268.98,-71526.36,676742.62
9,0,127,Australia,2011-01-01,9017.709999999997,0.0,9017.709999999997
0,1,1,Bahrain,2011-01-01,0.0,-205.74,-205.74
3,3,63,Belgium,2011-01-01,1200.1999999999998,-46.15,1154.0499999999997
1,1,32,Channel Islands,2011-01-01,675.58,-30.5,645.08
1,0,16,Cyprus,2011-01-01,547.5,0.0,547.5
7,2,189,EIRE,2011-01-01,21904.19,-247.67000000000004,21656.519999999997
2,0,11,Finland,2011-01-01,889.02,0.0,889.02
29,10,675,France,2011-01-01,17740.12,-237.04999999999998,17503.07
31,9,826,Germany,2011-01-01,16910.84,-459.41,16451.43
1,0,32,Greece,2011-01-01,2661.24,0.0,2661.24
1,0,57,Hong Kong,2011-01-01,2439.76,0.0,2439.76
1,0,29,Iceland,2011-01-01,475.39,0.0,475.39
1,0,14,Israel,2011-01-01,379.84,0.0,379.84
3,2,114,Italy,2011-01-01,2402.5099999999993,-41.15,2361.359999999999
0,1,4,Japan,2011-01-01,0.0,-109.8,-109.8
1,0,45,Lebanon,2011-01-01,1693.8800000000003,0.0,1693.8800000000003
5,0,229,Netherlands,2011-01-01,26611.16,0.0,26611.16
1,0,25,Poland,2011-01-01,613.22,0.0,613.22
4,1,122,Portugal,2011-01-01,4055.71,-57.6,3998.11
1,0,56,Singapore,2011-01-01,2053.07,0.0,2053.07
8,3,385,Spain,2011-01-01,10086.09,-2907.55,7178.540000000001
2,1,35,Sweden,2011-01-01,3486.32,-40.0,3446.32
3,0,160,Switzerland,2011-01-01,4231.23,0.0,4231.23
1101,226,31900,United Kingdom,2011-01-01,561289.9800000001,-126981.68000000001,434308.30000000005
5,1,91,Australia,2011-02-01,14695.419999999998,-67.95,14627.469999999998
2,0,21,Austria,2011-02-01,518.36,0.0,518.36
8,2,120,Belgium,2011-02-01,2181.07,-19.75,2161.32
1,0,10,Channel Islands,2011-02-01,1784.7099999999998,0.0,1784.7099999999998
6,1,157,Cyprus,2011-02-01,4334.24,-320.69,4013.55
1,0,15,Czech Republic,2011-02-01,549.26,0.0,549.26
1,0,20,Denmark,2011-02-01,399.22,0.0,399.22
13,2,440,EIRE,2011-02-01,12248.74,-2574.6000000000004,9674.14
1,0,12,Finland,2011-02-01,205.15999999999997,0.0,205.15999999999997
21,6,426,France,2011-02-01,8515.960000000001,-77.05,8438.91
19,12,350,Germany,2011-02-01,9581.050000000001,-611.81,8969.24
1,0,16,Israel,2011-02-01,779.1,0.0,779.1
1,1,14,Italy,2011-02-01,256.0,-4.5,251.5
2,0,85,Japan,2011-02-01,5780.8099999999995,0.0,5780.8099999999995
5,2,191,Netherlands,2011-02-01,23011.910000000003,-79.8,22932.110000000004
2,0,32,Norway,2011-02-01,630.9,0.0,630.9
2,0,28,Poland,2011-02-01,604.05,0.0,604.05
2,0,57,Portugal,2011-02-01,1213.9,0.0,1213.9
1,0,9,Saudi Arabia,2011-02-01,145.92,0.0,145.92
4,1,100,Spain,2011-02-01,2114.5,-20.8,2093.7
1,0,12,Sweden,2011-02-01,509.5,0.0,509.5
5,1,103,Switzerland,2011-02-01,2654.9199999999996,-12.25,2642.6699999999996
1,0,30,United Arab Emirates,2011-02-01,889.24,0.0,889.24
1069,190,25368,United Kingdom,2011-02-01,430027.95,-21780.04,408247.91000000003
3,1,110,Australia,2011-03-01,17223.99,-168.7,17055.29
2,0,18,Austria,2011-03-01,1708.12,0.0,1708.12
9,1,163,Belgium,2011-03-01,3351.98,-18.4,3333.58
1,0,10,Canada,2011-03-01,140.54,0.0,140.54
