country,monthStart,grossRevenue,returnsRevenue,returnRateAbs
Australia,2010-12-01,1032.85,-27.749999999999996,0.026867405722031272
Austria,2010-12-01,277.2,-20.16,0.07272727272727274
Bahrain,2010-12-01,205.74,0.0,0.0
Belgium,2010-12-01,1809.91,0.0,0.0
Channel Islands,2010-12-01,363.53,0.0,0.0
Cyprus,2010-12-01,1590.82,0.0,0.0
Denmark,2010-12-01,1281.5000000000002,0.0,0.0
EIRE,2010-12-01,10033.26,-1003.3100000000003,0.09999840530395906
Finland,2010-12-01,892.8000000000001,0.0,0.0
France,2010-12-01,9616.310000000001,-40.95,0.004258390172529795
Germany,2010-12-01,15241.140000000001,-678.3000000000001,0.04450454493561505
Iceland,2010-12-01,711.79,0.0,0.0
Israel,2010-12-01,0.0,-227.44,
Italy,2010-12-01,811.5,-17.0,0.020948860135551448
Japan,2010-12-01,7705.07,0.0,0.0
Lithuania,2010-12-01,1661.06,0.0,0.0
Netherlands,2010-12-01,8784.479999999998,0.0,0.0
Norway,2010-12-01,3787.120000000001,0.0,0.0
Poland,2010-12-01,248.16,0.0,0.0
Portugal,2010-12-01,2439.97,-59.85,0.02452899011053415
Spain,2010-12-01,1843.73,0.0,0.0
Sweden,2010-12-01,3834.2999999999997,-1188.0,0.309834911196307
Switzerland,2010-12-01,1304.9199999999996,0.0,0.0
United Kingdom,2010-12-01,748268.98,-71526.36,0.0955891021969132
Australia,2011-01-01,9017.709999999997,0.0,0.0
Bahrain,2011-01-01,0.0,-205.74,
Belgium,2011-01-01,1200.1999999999998,-46.15,0.03845192467922014
Channel Islands,2011-01-01,675.58,-30.5,0.045146392729210456
Cyprus,2011-01-01,547.5,0.0,0.0
EIRE,2011-01-01,21904.19,-247.67000000000004,0.011306969123259068
Finland,2011-01-01,889.02,0.0,0.0
France,2011-01-01,17740.12,-237.04999999999998,0.01336236733460653
Germany,2011-01-01,16910.84,-459.41,0.027166598465836116
Greece,2011-01-01,2661.24,0.0,0.0
Hong Kong,2011-01-01,2439.76,0.0,0.0
Iceland,2011-01-01,475.39,0.0,0.0
Israel,2011-01-01,379.84,0.0,0.0
Italy,2011-01-01,2402.5099999999993,-41.15,0.01712792038326584
Japan,2011-01-01,0.0,-109.8,
Lebanon,2011-01-01,1693.8800000000003,0.0,0.0
Netherlands,2011-01-01,26611.16,0.0,0.0
Poland,2011-01-01,613.22,0.0,0.0
Portugal,2011-01-01,4055.71,-57.6,0.014202198875166125
Singapore,2011-01-01,2053.07,0.0,0.0
Spain,2011-01-01,10086.09,-2907.55,0.28827325554303007
Sweden,2011-01-01,3486.32,-40.0,0.011473416094908097
Switzerland,2011-01-01,4231.23,0.0,0.0
United Kingdom,2011-01-01,561289.9800000001,-126981.68000000001,0.2262318668150819
Australia,2011-02-01,14695.419999999998,-67.95,0.004623889620031275
Austria,2011-02-01,518.36,0.0,0.0
Belgium,2011-02-01,2181.07,-19.75,0.009055188508392669
Channel Islands,2011-02-01,1784.7099999999998,0.0,0.0
Cyprus,2011-02-01,4334.24,-320.69,0.07398990365092842
Czech Republic,2011-02-01,549.26,0.0,0.0
Denmark,2011-02-01,399.22,0.0,0.0
EIRE,2011-02-01,12248.74,-2574.6000000000004,0.2101930484278383
Finland,2011-02-01,205.15999999999997,0.0,0.0
France,2011-02-01,8515.960000000001,-77.05,0.00904771746227084
Germany,2011-02-01,9581.050000000001,-611.81,0.06385625792580144
Israel,2011-02-01,779.1,0.0,0.0
Italy,2011-02-01,256.0,-4.5,0.017578125
Japan,2011-02-01,5780.8099999999995,0.0,0.0
Netherlands,2011-02-01,23011.910000000003,-79.8,0.0034677695158724323
Norway,2011-02-01,630.9,0.0,0.0
Poland,2011-02-01,604.05,0.0,0.0
Portugal,2011-02-01,1213.9,0.0,0.0
Saudi Arabia,2011-02-01,145.92,0.0,0.0
Spain,2011-02-01,2114.5,-20.8,0.009836840860723575
Sweden,2011-02-01,509.5,0.0,0.0
Switzerland,2011-02-01,2654.9199999999996,-12.25,0.00461407500037666
United Arab Emirates,2011-02-01,889.24,0.0,0.0
United Kingdom,2011-02-01,430027.95,-21780.04,0.05064796369631323
Australia,2011-03-01,17223.99,-168.7,0.009794478515140799
Austria,2011-03-01,1708.12,0.0,0.0
Belgium,2011-03-01,3351.98,-18.4,0.005489292895542335
Canada,2011-03-01,140.54,0.0,0.0
Channel Islands,2011-03-01,3509.33,0.0,0.0
Cyprus,2011-03-01,938.3900000000002,0.0,0.0
Denmark,2011-03-01,3978.9899999999993,0.0,0.0
EIRE,2011-03-01,22197.51,-3414.28,0.15381364846777862
Finland,2011-03-01,5936.82,-12.2,0.0020549721904992908
France,2011-03-01,14589.55,-72.65,0.004979591556970572
Germany,2011-03-01,14392.690000000002,-222.67,0.015471048150137324
Greece,2011-03-01,387.31,0.0,0.0
Hong Kong,2011-03-01,2583.76,-2583.76,1.0
Italy,2011-03-01,1806.8100000000004,-27.9,0.015441579358095201
Japan,2011-03-01,48.9,-122.56,2.5063394683026585
Netherlands,2011-03-01,22416.489999999998,0.0,0.0
Norway,2011-03-01,1265.31,-960.63,0.759205254048415
Poland,2011-03-01,317.78,-14.39,0.04528290011957959
Portugal,2011-03-01,2660.8500000000004,0.0,0.0
Saudi Arabia,2011-03-01,0.0,-14.75,
Spain,2011-03-01,5363.15,-36.5,0.006805701872966447
Sweden,2011-03-01,4720.580000000001,-180.0,0.038130907642704916
Switzerland,2011-03-01,1870.23,0.0,0.0
United Kingdom,2011-03-01,586230.28,-26522.89,0.045243125278346244
Australia,2011-04-01,771.6000000000001,-438.2,0.5679108346293416
Austria,2011-04-01,680.78,0.0,0.0
Belgium,2011-04-01,1989.48,-35.33,0.01775840923256328
Brazil,2011-04-01,1143.6000000000001,0.0,0.0
Channel Islands,2011-04-01,293.0,0.0,0.0
Cyprus,2011-04-01,0.0,-35.8,
Czech Republic,2011-04-01,0.0,-57.51,
EIRE,2011-04-01,7570.500000000001,0.0,0.0
European Community,2011-04-01,191.40000000000003,0.0,0.0
Finland,2011-04-01,1688.92,-62.11,0.036774980460886245
France,2011-04-01,5529.61,-1334.3999999999999,0.2413190080313078
Germany,2011-04-01,12315.54,-352.17,0.02859557924378468
Greece,2011-04-01,609.74,0.0,0.0
Hong Kong,2011-04-01,1539.6399999999996,0.0,0.0
Iceland,2011-04-01,636.25,0.0,0.0
Israel,2011-04-01,110.0,0.0,0.0
Italy,2011-04-01,737.8299999999999,0.0,0.0
Japan,2011-04-01,6548.5,-1676.6699999999998,0.2560387875085897
Netherlands,2011-04-01,2976.5599999999995,0.0,0.0
Poland,2011-04-01,705.8399999999999,0.0,0.0
Portugal,2011-04-01,1687.7500000000002,0.0,0.0
Singapore,2011-04-01,8209.58,-6090.84,0.7419185877962089
Spain,2011-04-01,1785.65,0.0,0.0
Sweden,2011-04-01,809.1,0.0,0.0
Switzerland,2011-04-01,2076.9399999999996,-254.75,0.12265640798482386
USA,2011-04-01,383.95,0.0,0.0
United Kingdom,2011-04-01,476517.761,-34263.72,0.07190439224782642
Unspecified,2011-04-01,299.1,0.0,0.0
Australia,2011-05-01,13638.410000000003,-9.899999999999999,0.0007258910679470698
Austria,2011-05-01,1249.4299999999998,0.0,0.0
Bahrain,2011-05-01,548.4,0.0,0.0
Belgium,2011-05-01,2732.4000000000005,-5.4,0.001976284584980237
Canada,2011-05-01,534.24,0.0,0.0
Channel Islands,2011-05-01,1207.24,-303.45,0.25135847056094895
Denmark,2011-05-01,515.7,0.0,0.0
EIRE,2011-05-01,18008.760000000002,-87.41,0.004853748953287177
France,2011-05-01,17614.88,-87.8,0.004984422261179185
Germany,2011-05-01,25751.200000000004,-179.85,0.006984140544906644
Hong Kong,2011-05-01,1966.1600000000005,0.0,0.0
Italy,2011-05-01,587.45,0.0,0.0
Japan,2011-05-01,1351.4499999999998,0.0,0.0
Netherlands,2011-05-01,29185.880000000005,0.0,0.0
Poland,2011-05-01,1522.37,0.0,0.0
Portugal,2011-05-01,4202.2300000000005,-3614.4,0.8601147485977683
Spain,2011-05-01,3257.5999999999995,0.0,0.0
Sweden,2011-05-01,2681.98,-17.0,0.0063386005861341245
Switzerland,2011-05-01,3610.0099999999998,-42.8,0.011855922836778846
United Kingdom,2011-05-01,639314.36,-42854.5,0.06703196843568475
Unspecified,2011-05-01,1055.8700000000001,0.0,0.0
Australia,2011-06-01,25187.770000000008,-23.0,0.0009131415762491079
Austria,2011-06-01,0.0,-24.2,
Belgium,2011-06-01,4274.820000000001,-1.65,0.0003859811641191909
Canada,2011-06-01,1171.4600000000003,0.0,0.0
Channel Islands,2011-06-01,2060.0300000000007,0.0,0.0
Cyprus,2011-06-01,1109.3199999999997,0.0,0.0
Denmark,2011-06-01,3261.15,0.0,0.0
EIRE,2011-06-01,24863.61,-4803.36,0.1931883584081314
European Community,2011-06-01,432.05,-8.5,0.019673648883231108
Finland,2011-06-01,329.56,0.0,0.0
France,2011-06-01,16348.41,-356.53999999999996,0.02180884868926091
Germany,2011-06-01,13274.1,-193.07999999999998,0.014545618912016632
Hong Kong,2011-06-01,633.96,0.0,0.0
Iceland,2011-06-01,382.52,0.0,0.0
Italy,2011-06-01,202.07,-39.8,0.1969614490028208
Japan,2011-06-01,1607.0399999999997,0.0,0.0
Malta,2011-06-01,863.1600000000001,-12.75,0.014771305435840399
Netherlands,2011-06-01,26858.089999999997,-15.0,0.000558490942580057
Norway,2011-06-01,5886.860000000001,0.0,0.0
Poland,2011-06-01,343.65000000000003,-78.91,0.22962316310199327
Portugal,2011-06-01,884.46,-4.95,0.00559663523505868
Spain,2011-06-01,3333.21,-0.77,0.0002310085473162507
Sweden,2011-06-01,832.0000000000001,0.0,0.0
Switzerland,2011-06-01,7904.149999999999,-21.95,0.0027770221972002055
United Kingdom,2011-06-01,619510.67,-65032.32,0.104973688346643
Unspecified,2011-06-01,185.78000000000003,0.0,0.0
Australia,2011-07-01,4964.38,-196.80999999999997,0.039644426897215757
Austria,2011-07-01,1191.9499999999998,0.0,0.0
Belgium,2011-07-01,2475.57,-1.95,0.0007876973787854918
Canada,2011-07-01,1768.58,0.0,0.0
Denmark,2011-07-01,376.24,0.0,0.0
EIRE,2011-07-01,42789.85,-49.2,0.001149805386090393
European Community,2011-07-01,676.8,0.0,0.0
Finland,2011-07-01,2996.7300000000005,0.0,0.0
France,2011-07-01,10000.19,-111.19999999999999,0.011119788724014241
