qtyNet,lines,stockCode,description,revenuePos,revenueNeg,revenueNet
1707,710,DOT,DOTCOM POSTAGE,206248.77,-3.29,206245.48
12980,2203,22423,REGENCY CAKESTAND 3 TIER,174484.74,-9722.55,164762.19
18022,1727,47566,PARTY BUNTING,99504.33,-1201.3500000000001,98302.98
38830,2313,85123A,WHITE HANGING HEART T-LIGHT HOLDER,104518.8,-6624.3,97894.5
47363,2159,85099B,JUMBO BAG RED RETROSPOT,94340.05,-1984.02,92356.03
30646,1067,23084,RABBIT NIGHT LIGHT,66964.99,-208.4,66756.59
6353,1256,POST,POSTAGE,78101.88,-11871.24,66230.64
18902,1210,22086,PAPER CHAIN KIT 50'S CHRISTMAS,64952.29,-1160.35,63791.94
36221,1502,84879,ASSORTED COLOUR BIRD ORNAMENT,59094.93,-135.2,58959.729999999996
10343,683,79321,CHILLI LIGHTS,54117.76,-349.7,53768.060000000005
1873,484,22502,PICNIC BASKET WICKER SMALL,51426.62,-385.25,51041.37
56450,1476,22197,SMALL POPCORN HOLDER,51354.02,-366.55,50987.47
8534,1179,23298,SPOTTY BUNTING,43182.83,-482.81000000000006,42700.020000000004
21009,1251,22386,JUMBO BAG PINK POLKADOT,42436.24,-816.58,41619.66
20013,1267,23203,mailout,42067.78,-1076.4,40991.38
11616,385,21137,BLACK RECORD COVER FRAME,40652.13,-55.17,40596.96
7286,1477,22720,SET OF 3 CAKE TINS PANTRY DESIGN,38158.39,-744.95,37413.44
5264,746,23284,DOORMAT KEEP CALM AND COME IN,38166.64,-1601.25,36565.39
8470,1229,22960,JAM MAKING SET WITH JARS,37128.88,-1012.79,36116.09
5996,698,82484,WOOD BLACK BOARD ANT WHITE FINISH,36030.22,-170.95,35859.27
18979,1639,20725,LUNCH BAG RED RETROSPOT,36042.01,-854.7,35187.31
5591,660,22114,HOT WATER BOTTLE TEA AND SYMPATHY,33002.590000000004,-310.1,32692.49
23854,1072,22178,VICTORIAN GLASS HANGING T-LIGHT,33187.97,-638.4,32549.57
5898,889,22112,CHOCOLATE HOT WATER BOTTLE,32866.18,-548.88,32317.300000000003
16035,842,85099F,JUMBO BAG STRAWBERRY,32570.47,-448.49,32121.98
10253,850,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,32873.340000000004,-931.4499999999999,31941.89
17791,1239,22469,HEART OF WICKER SMALL,32107.8,-207.95,31899.85
6267,919,23245,SET OF 3 REGENCY CAKE TINS,31177.95,-421.5,30756.45
7741,1107,22727,ALARM CLOCK BAKELIKE RED,30701.12,-277.5,30423.62
13320,1214,21931,JUMBO STORAGE BAG SUKI,30770.12,-602.33,30167.79
9830,963,22470,HEART OF WICKER LARGE,30139.410000000003,-189.5,29949.910000000003
14197,1009,23199,JUMBO BAG APPLES,30475.65,-1309.25,29166.4
18003,912,22355,CHARLOTTE BAG SUKI DESIGN,29277.95,-113.59,29164.36
5745,813,23355,HOT WATER BOTTLE KEEP CALM,28842.550000000003,-417.6,28424.95
12248,1202,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,28634.95,-622.47,28012.48
9120,1280,22457,NATURAL SLATE HEART CHALKBOARD,28147.960000000003,-152.60000000000002,27995.36
9441,1138,22699,ROSES REGENCY TEACUP AND SAUCER,29095.27,-1150.35,27944.920000000002
4027,707,20685,DOORMAT RED RETROSPOT,28082.54,-461.22,27621.32
13641,960,85099C,JUMBO  BAG BAROQUE BLACK WHITE,28092.2,-510.88,27581.32
6384,1026,22726,ALARM CLOCK BAKELIKE GREEN,27196.53,-157.5,27039.03
12785,930,23201,JUMBO BAG ALPHABET,27890.170000000002,-1076.02,26814.15
22066,677,21915,RED  HARMONICA IN BOX,26331.58,-83.75,26247.83
100,475,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,26463.829999999998,-321.6,26142.23
8146,1180,22666,RECIPE BOX PANTRY YELLOW DESIGN,26240.600000000002,-421.05,25819.550000000003
14206,924,22629,SPACEBOY LUNCH BOX,25740.469999999998,-92.7,25647.769999999997
18911,946,84946,ANTIQUE SILVER TEA GLASS ETCHED,25889.63,-372.96000000000004,25516.670000000002
3750,627,48138,DOORMAT UNION FLAG,25609.6,-97.5,25512.1
16081,1182,22961,JAM MAKING SET PRINTED,25660.98,-425.75,25235.23
12576,882,21181,PLEASE ONE PERSON METAL SIGN,25290.58,-169.70000000000002,25120.88
2718,438,23173,REGENCY TEAPOT ROSES,24918.93,-436.40000000000003,24482.530000000002
5928,872,22722,SET OF 6 SPICE TINS PANTRY DESIGN,24483.66,-118.0,24365.66
8519,764,22326,ROUND SNACK BOXES SET OF4 WOODLAND,24438.620000000003,-120.95000000000002,24317.670000000002
2331,495,21621,VINTAGE UNION JACK BUNTING,24542.829999999998,-238.0,24304.829999999998
3826,608,48187,DOORMAT NEW ENGLAND,24292.84,-31.8,24261.04
4537,798,22111,SCOTTIE DOG HOT WATER BOTTLE,24509.84,-544.45,23965.39
4880,974,22138,BAKING SET 9 PIECE RETROSPOT,24239.72,-311.1,23928.620000000003
13823,874,21731,RED TOADSTOOL LED NIGHT LIGHT,23932.98,-281.29999999999995,23651.679999999997
8283,536,22189,CREAM HEART CARD HOLDER,23463.47,-31.6,23431.870000000003
10044,739,23344,JUMBO BAG 50'S CHRISTMAS,23815.75,-486.96000000000004,23328.79
10177,826,21175,GIN + TONIC DIET METAL SIGN,27074.07,-3775.33,23298.739999999998
7825,773,21733,RED HANGING HEART T-LIGHT HOLDER,23228.74,-152.95,23075.79
3268,228,21623,VINTAGE UNION JACK MEMOBOARD,23010.09,-39.8,22970.29
4688,509,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,23514.170000000002,-545.5500000000001,22968.62
10785,885,21929,JUMBO BAG PINK VINTAGE PAISLEY,23181.14,-387.07,22794.07
4559,993,22139,RETROSPOT TEA SET CERAMIC 11 PC,22912.81,-195.3,22717.510000000002
9159,684,20713,JUMBO BAG OWLS,23030.96,-431.43,22599.53
7516,812,22090,PAPER BUNTING RETROSPOT,22790.960000000003,-196.4,22594.56
8773,1129,82482,WOODEN PICTURE FRAME WHITE FINISH,23113.260000000002,-581.55,22531.71
7161,1085,22697,GREEN REGENCY TEACUP AND SAUCER,22826.3,-393.05,22433.25
12405,1348,22383,LUNCH BAG SUKI  DESIGN,22542.44,-223.8,22318.64
1751,555,85066,CREAM SWEETHEART MINI CHEST,22708.95,-460.8,22248.149999999998
12112,1350,20727,LUNCH BAG  BLACK SKULL.,22421.21,-202.2,22219.01
3418,599,48194,DOORMAT HEARTS,22138.57,-23.85,22114.72
4660,452,84029E,RED WOOLLY HOTTIE WHITE HEART.,22144.98,-256.45,21888.530000000002
3897,467,15056N,EDWARDIAN PARASOL NATURAL,22176.49,-337.45,21839.04
9533,878,20712,JUMBO BAG WOODLAND ANIMALS,22092.420000000002,-426.46,21665.96
17548,1068,20724,RED RETROSPOT CHARLOTTE BAG,21776.79,-170.31,21606.48
3241,506,21523,DOORMAT FANCY FONT HOME SWEET HOME,21601.69,-40.05,21561.64
11603,1197,20728,LUNCH BAG CARS BLUE,21750.63,-327.5,21423.13
10820,896,23202,mailout,21852.81,-442.46000000000004,21410.350000000002
13249,1135,23209,mailout,21450.17,-65.8,21384.37
11518,881,22630,DOLLY GIRL LUNCH BOX,21635.14,-478.6499999999999,21156.489999999998
36039,1385,21212,PACK OF 72 RETROSPOT CAKE CASES,21259.100000000002,-199.38000000000002,21059.72
12124,1084,23206,LUNCH BAG APPLE DESIGN,20911.98,-97.15,20814.829999999998
10153,746,21166,COOK WITH WINE METAL SIGN,20957.64,-161.1,20796.54
10205,823,21928,JUMBO BAG SCANDINAVIAN PAISLEY,21154.55,-484.53,20670.02
5323,810,22728,ALARM CLOCK BAKELIKE PINK,20702.15,-153.75,20548.4
11201,750,22659,LUNCH BOX I LOVE LONDON,20818.7,-546.0,20272.7
4486,519,21479,WHITE SKULL HOT WATER BOTTLE,20594.45,-635.9300000000001,19958.52
5076,481,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,19736.5,-108.75,19627.75
2886,372,48185,DOORMAT FAIRY CAKE,23888.81,-4554.9,19333.91
1628,585,21843,RED RETROSPOT CAKE STAND,21365.25,-2480.5,18884.75
6308,943,82494L,WOODEN FRAME ANTIQUE WHITE,19640.79,-910.9499999999999,18729.84
12392,655,22969,HOMEMADE JAM SCENTED CANDLES,18788.55,-185.79999999999998,18602.75
7877,731,22467,GUMBALL COAT RACK,18890.47,-337.5,18552.97
1467,474,22501,PICNIC BASKET WICKER LARGE,19322.16,-873.2,18448.96
9852,1061,20726,LUNCH BAG WOODLAND,18323.38,-134.9,18188.48
6265,937,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,18390.2,-300.85,18089.350000000002
22552,524,15036,ASSORTED COLOURS SILK FAN,18569.84,-505.68,18064.16
2080,637,82486,WOOD S/3 CABINET ANT WHITE FINISH,18467.22,-585.9,17881.32
10305,1192,22382,LUNCH BAG SPACEBOY DESIGN,18092.36,-242.35,17850.01
16172,307,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17927.45,-90.0,17837.45
8366,689,22865,HAND WARMER OWL DESIGN,17910.030000000002,-258.05,17651.980000000003
3513,655,21485,RETROSPOT HEART HOT WATER BOTTLE,17708.53,-99.0,17609.53
6189,611,22328,ROUND SNACK BOXES SET OF 4 FRUITS,19130.37,-1691.4999999999998,17438.87
